d,s,m,param_count
104,76,9,496625
104,80,3,201521
104,80,6,374801
104,80,9,548081
104,84,3,220097
104,84,6,411113
104,84,9,602129
104,88,3,239537
104,88,6,449153
104,88,9,658769
104,92,3,259841
104,92,6,488921
104,92,9,718001
104,96,3,281009
104,96,6,530417
104,96,9,779825
104,100,3,303041
104,100,6,573641
104,100,9,844241
112,4,3,13681
112,8,3,15905
112,8,6,17681
112,12,3,18993
112,12,6,22953
112,12,9,26913
112,16,3,22945
112,16,6,29953
112,16,9,36961
112,20,3,27761
112,20,6,38681
112,20,9,49601
112,24,3,33441
112,24,6,49137
112,24,9,64833
112,28,3,39985
112,28,6,61321
112,28,9,82657
112,32,3,47393
112,32,6,75233
112,32,9,103073
112,36,3,55665
112,36,6,90873
112,36,9,126081
112,40,3,64801
112,40,6,108241
112,40,9,151681
112,44,3,74801
112,44,6,127337
112,44,9,179873
112,48,3,85665
112,48,6,148161
112,48,9,210657
112,52,3,97393
112,52,6,170713
112,52,9,244033
112,56,3,109985
112,56,6,194993
112,56,9,280001
112,60,3,123441
112,60,6,221001
112,60,9,318561
112,64,3,137761
112,64,6,248737
112,64,9,359713
112,68,3,152945
112,68,6,278201
112,68,9,403457
112,72,3,168993
112,72,6,309393
112,72,9,449793
112,76,3,185905
112,76,6,342313
112,76,9,498721
112,80,3,203681
112,80,6,376961
112,80,9,550241
112,84,3,222321
112,84,6,413337
112,84,9,604353
112,88,3,241825
112,88,6,451441
112,88,9,661057
112,92,3,262193
112,92,6,491273
112,92,9,720353
112,96,3,283425
112,96,6,532833
112,96,9,782241
112,100,3,305521
112,100,6,576121
112,100,9,846721
112,104,3,328481
112,104,6,621137
112,104,9,913793
112,108,3,352305
112,108,6,667881
112,108,9,983457
120,4,3,14625
120,8,3,16913
120,8,6,18689
120,12,3,20065
120,12,6,24025
120,12,9,27985
120,16,3,24081
120,16,6,31089
120,16,9,38097
120,20,3,28961
120,20,6,39881
120,20,9,50801
120,24,3,34705
120,24,6,50401
120,24,9,66097
120,28,3,41313
120,28,6,62649
120,28,9,83985
120,32,3,48785
120,32,6,76625
120,32,9,104465
120,36,3,57121
120,36,6,92329
120,36,9,127537
120,40,3,66321
120,40,6,109761
120,40,9,153201
120,44,3,76385
120,44,6,128921
120,44,9,181457
120,48,3,87313
120,48,6,149809
120,48,9,212305
120,52,3,99105
120,52,6,172425
120,52,9,245745
120,56,3,111761
120,56,6,196769
120,56,9,281777
120,60,3,125281
120,60,6,222841
120,60,9,320401
120,64,3,139665
120,64,6,250641
120,64,9,361617
120,68,3,154913
120,68,6,280169
120,68,9,405425
120,72,3,171025
120,72,6,311425
120,72,9,451825
120,76,3,188001
120,76,6,344409
120,76,9,500817
120,80,3,205841
120,80,6,379121
120,80,9,552401
120,84,3,224545
120,84,6,415561
120,84,9,606577
120,88,3,244113
120,88,6,453729
120,88,9,663345
120,92,3,264545
120,92,6,493625
120,92,9,722705
120,96,3,285841
120,96,6,535249
120,96,9,784657
120,100,3,308001
120,100,6,578601
120,100,9,849201
120,104,3,331025
120,104,6,623681
120,104,9,916337
120,108,3,354913
120,108,6,670489
120,108,9,986065
120,112,3,379665
120,112,6,719025
120,112,9,1058385
120,116,3,405281
120,116,6,769289
120,116,9,1133297
128,4,3,15569
128,8,3,17921
128,8,6,19697
128,12,3,21137
128,12,6,25097
128,12,9,29057
128,16,3,25217
128,16,6,32225
128,16,9,39233
128,20,3,30161
128,20,6,41081
128,20,9,52001
128,24,3,35969
128,24,6,51665
128,24,9,67361
128,28,3,42641
128,28,6,63977
128,28,9,85313
128,32,3,50177
128,32,6,78017
128,32,9,105857
128,36,3,58577
128,36,6,93785
128,36,9,128993
128,40,3,67841
128,40,6,111281
128,40,9,154721
128,44,3,77969
128,44,6,130505
128,44,9,183041
128,48,3,88961
128,48,6,151457
128,48,9,213953
128,52,3,100817
128,52,6,174137
128,52,9,247457
128,56,3,113537
128,56,6,198545
128,56,9,283553
128,60,3,127121
128,60,6,224681
128,60,9,322241
128,64,3,141569
128,64,6,252545
128,64,9,363521
128,68,3,156881
128,68,6,282137
128,68,9,407393
128,72,3,173057
128,72,6,313457
128,72,9,453857
128,76,3,190097
128,76,6,346505
128,76,9,502913
128,80,3,208001
128,80,6,381281
128,80,9,554561
128,84,3,226769
128,84,6,417785
128,84,9,608801
128,88,3,246401
128,88,6,456017
128,88,9,665633
128,92,3,266897
128,92,6,495977
128,92,9,725057
128,96,3,288257
128,96,6,537665
128,96,9,787073
128,100,3,310481
128,100,6,581081
128,100,9,851681
128,104,3,333569
128,104,6,626225
128,104,9,918881
128,108,3,357521
128,108,6,673097
128,108,9,988673
128,112,3,382337
128,112,6,721697
128,112,9,1061057
128,116,3,408017
128,116,6,772025
128,116,9,1136033
128,120,3,434561
128,120,6,824081
128,120,9,1213601
128,124,3,461969
128,124,6,877865
128,124,9,1293761
136,4,3,16513
136,8,3,18929
136,8,6,20705
136,12,3,22209
136,12,6,26169
136,12,9,30129
136,16,3,26353
136,16,6,33361
136,16,9,40369
136,20,3,31361
136,20,6,42281
136,20,9,53201
136,24,3,37233
136,24,6,52929
136,24,9,68625
136,28,3,43969
136,28,6,65305
136,28,9,86641
136,32,3,51569
136,32,6,79409
136,32,9,107249
136,36,3,60033
136,36,6,95241
136,36,9,130449
136,40,3,69361
136,40,6,112801
136,40,9,156241
136,44,3,79553
136,44,6,132089
136,44,9,184625
136,48,3,90609
136,48,6,153105
136,48,9,215601
136,52,3,102529
136,52,6,175849
136,52,9,249169
136,56,3,115313
136,56,6,200321
136,56,9,285329
136,60,3,128961
136,60,6,226521
136,60,9,324081
136,64,3,143473
136,64,6,254449
136,64,9,365425
136,68,3,158849
